"","variable","Group1","value"
"1","basidiomycota","Healthy Control",30.9217678366401
"2","ascomycota","Healthy Control",69.0782321633599
"3","basidiomycota","Prostate cancer",25
"4","ascomycota","Prostate cancer",61.6666666666667
